Pedigree	Year	Genotype	Plant	Locule_count_fruit_1	Locule_count_fruit_2	Locule_count_fruit_3	Locule_count_fruit_4	Locule_count_fruit_5	Locule_count_fruit_6	Locule_count_fruit_7	Locule_count_fruit_8	Locule_count_fruit_9	Locule_count_fruit_10	Locule_count_fruit_11	Locule_count_fruit_12	Locule_count_fruit_13	Locule_count_fruit_14	Locule_count_fruit_15	Locule_count_fruit_16	Locule_count_fruit_17	Locule_count_fruit_18	Locule_count_fruit_19	Locule_count_fruit_20	Average_locule_count
1194	2022	Solanum_aethiopicum_PI_441879	5	7	9	5	8	9	9	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.625
1194	2022	Solanum_aethiopicum_PI_441879	6	7	6	7	8	7	8	9	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.555555556
1214	2022	Solanum_aethiopicum_PI_441898	8	7	7	8	7	8	8	7	9	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5
1160	2022	Solanum_aethiopicum_PI_441879	3	9	8	8	8	6	7	7	8	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.4
1201	2022	Solanum_aethiopicum_PI_441885	1	9	8	6	7	7	5	7	7	10	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.4
1216	2022	Solanum_aethiopicum_PI_441899	1	7	8	7	6	8	10	8	7	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.3
1235	2022	Solanum_aethiopicum_SC102	7	9	8	7	8	6	7	8	6	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.3
1235	2022	Solanum_aethiopicum_SC102	6	7	10	6	7	6	7	7	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.25
1352	2023	Solanum_aethiopicum_PI_441877	4	7	6	7	6	7	8	9	7	7	7	8	6	7	6	7	7	8	8	7	8	7.15
1203	2022	Solanum_aethiopicum_PI_441887	4	8	5	6	6	7	7	6	7	13	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.1
1216	2022	Solanum_aethiopicum_PI_441899	3	12	8	8	6	7	6	6	6	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.1
1194	2022	Solanum_aethiopicum_PI_441879	3	7	8	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
1214	2022	Solanum_aethiopicum_PI_441898	2	8	6	8	6	6	8	6	8	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
1216	2022	Solanum_aethiopicum_PI_441899	7	8	8	6	6	7	8	8	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7
1201	2022	Solanum_aethiopicum_PI_441885	4	8	7	7	6	6	8	8	6	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.9
